alim_grp_nom_fr,alim_code,alim_nom_fr,Energie (kcal/100g),Protéines (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Fibres alimentaires (g/100g),AG saturés (g/100g),Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Fer (mg/100g),Magnésium (mg/100g),Potassium (mg/100g),Zinc (mg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine C (mg/100g)
poissons crus,26219,"Grondin perlon, cru","97,4","20,3",traces,"1,79",0,0,-,-,"0,14",-,-,-,-,-,-,-,-
poissons crus,26233,"Merlu blanc du Cap, surgelé, cru",78,"16,1",traces,"1,52",0,0,"0,51",-,"0,28",32,"0,4",-,-,-,-,-,-
poissons crus,26235,"Chinchard maigre, cru","96,7","18,7",traces,"2,42",0,0,"0,66","49,6","0,16","20,1","0,96","31,7",386,"0,36","41,2","0,64",-
poissons crus,26236,"Chinchard gras, cru",147,"19,6",traces,"7,66",0,0,"1,79","45,3","0,14","5,72","0,85","31,7",382,"0,38","48,5","0,48",-
poissons crus,26237,"Hareng maigre, cru",111,"18,3",traces,"4,22",0,0,"0,83",50,"0,19","23,8","0,87","36,2",450,"0,49","9,59","0,57",-
poissons crus,26238,"Hareng gras, cru",172,"18,7",traces,"10,8",0,0,"2,23","54,7","0,13","47,7","0,88","32,7",421,"0,44","8,36","1,8","0,5"
poissons crus,26240,"Joëls (petits poissons entiers) pour friture, crus","88,9","17,5",traces,"2,1",0,0,"0,4",-,"0,27",60,"0,9",-,-,-,-,-,-
poissons crus,26241,"Empereur, filet, sans peau, cru","73,5",15,traces,"1,5",0,0,"0,3",-,"0,21",-,-,-,-,-,-,-,-
poissons crus,26244,"Rouget-barbet, filet avec peau, surgelé, cru (Thaïlande, Sénégal…)","96,7","16,3",traces,"3,5",0,0,"0,9",-,"0,2",14,"0,3",-,-,-,-,-,-
poissons crus,27003,"Carpe, crue, élevage",114,"17,7",traces,"4,76",0,0,"1,28","58,3","0,077","29,2","1,58","23,7",310,"0,58","3,84","0,63","1,3"
poissons crus,27008,"Truite d'élevage, crue",133,"19,3",traces,"6,22",0,0,"1,25","54,8","0,1","17,1","0,5","27,5",410,"0,44","5,92","1,94",-
poissons crus,27009,"Truite arc en ciel, crue, élevage",132,19,traces,"6,24",0,0,"1,15","59,1","0,11","41,7","0,46","28,7",410,"0,61","12,1","1,55",traces
poissons crus,27010,"Perche, crue","82,2","17,9",traces,"1,19",0,0,"0,28","61,1","0,14","70,8","0,58","28,5",290,"0,66","5,75","0,7","2,9"
poissons crus,27011,"Brochet, cru","83,7","18,8",traces,"0,94",0,0,"0,26","43,8","0,13",33,"0,9",21,228,"0,97","4,33","0,45","3,6"
poissons crus,27012,"Esturgeon, cru",123,"17,7",traces,"5,84",0,0,"1,34",63,"0,12","15,6","0,62","40,9",307,"0,63","10,3","0,5",0
poissons crus,27016,"Anguille, crue",232,"16,1",traces,"18,6",0,0,"3,89",120,"0,16","23,6","0,71",18,260,"2,27",16,6,"1,6"
poissons crus,27017,"Pangasius ou Poisson-chat, cru","65,2","13,5",traces,"1,27",0,0,"0,47","29,8","0,68","36,7","0,21","17,6",200,"0,24","< 0,5","0,16",0
poissons crus,27019,"Tilapia, cru","91,6","18,1",traces,"2,13",0,0,"0,56","39,5","0,071","8,16","0,27","25,4",282,"0,32","19,6","0,4",0
poissons crus,27021,"Truite saumonée, crue",143,"19,2",traces,"7,4",0,0,"1,2",48,"0,2","46,7","0,52","30,5",346,"0,61","18,7",-,0
poissons crus,27023,"Lotte de rivière, crue",77,"17,8",traces,"0,66",0,0,"0,17",60,"0,22",44,"0,65","26,5",337,"0,65","0,5","0,85",0
poissons crus,27024,"Sandre, cru","82,9","18,3",traces,"1,08",0,0,"0,21","70,3","0,12",54,"0,3",29,340,"0,4","0,7","1,35",1
poissons crus,27025,"Perche du Nil, crue","82,4","19,1",traces,"0,68",0,0,"0,22","63,7","0,14","4,96","0,26","26,8",308,"0,35","0,46","0,49",-
mollusques et crustacés cuits,10004,"Coquille Saint-Jacques, noix et corail, cuite",110,"20,2","3,22","1,77",0,0,"0,32",44,"0,46","17,1","1,4","62,8",348,"2,89",0,0,0
mollusques et crustacés cuits,10007,"Crevette, cuite",109,19,"5,54","1,16","< 0,25",0,"0,31",159,"1,35",240,"1,98",61,254,"1,69","< 0,5","2,48","0,83"
mollusques et crustacés cuits,10009,"Homard, bouilli/cuit à l'eau","90,9","19,6","0,11","1,32",0,0,"0,21",128,"0,9","68,8","0,63","34,2",208,"2,96",0,"1,6",0
mollusques et crustacés cuits,10013,"Moule, bouillie/cuite à l'eau",108,"17,2","5,12","2,09",traces,0,"0,37","52,1","0,8","59,4","3,99","66,6",166,"2,85","< 0,34","2,27","5,87"
mollusques et crustacés cuits,10020,"Bulot ou Buccin, cuit","97,7","20,7","2,69","0,47",traces,0,"0,072",127,"0,97","64,5","0,64",144,173,"1,58","< 0,5","0,8","3,4"
mollusques et crustacés cuits,10022,"Langouste, bouillie/cuite à l'eau",106,"21,8","1,3","1,52",0,0,"0,26",80,"0,46","65,5","1,36",51,208,"7,27","0,5","1,5","2,1"
mollusques et crustacés cuits,10025,"Crabe ou Tourteau, bouilli/cuit à l'eau",124,"19,5","1,79","4,29",0,0,"0,55","73,3","1,23",53,"1,62",55,248,"4,42",traces,"2,4","3,6"
mollusques et crustacés cuits,10027,"Clam, Praire ou Palourde, bouilli/cuit à l'eau","99,2","16,2","5,33","1,48",0,0,"0,14","50,5","1,56","72,5","9,67","12,9",432,"2,05",0,1,"22,1"
mollusques et crustacés cuits,10031,"Écrevisse, cuite","73,5","16,3","0,56","0,7","< 0,25",0,"0,17",116,"0,21",73,"0,65",26,140,"1,5","< 0,5",-,"0,5"
mollusques et crustacés cuits,10037,"Calmar ou calamar ou encornet, bouilli/cuit à l'eau",149,"32,5","1,64","1,4",0,0,"0,24",224,"1,86",180,"5,77",60,637,"3,46",-,-,"8,5"
mollusques et crustacés cuits,10043,Fruits de mer (aliment moyen),109,"18,9","4,46","1,75","0,054","0,001","0,35",111,"1,13",136,"2,68","64,5",270,"4,08","0,18","1,86","3,21"
mollusques et crustacés cuits,10079,"Poulpe, cuit",156,"29,8","4,4","2,08",0,0,"0,45",96,"1,15",106,"9,54",60,630,"3,36",0,"1,2",8
mollusques et crustacés cuits,10080,"Fruits de mer, cuits, surgelés","79,5","13,5","2,83","1,57",0,0,"0,45",-,"0,99",70,"8,48",-,-,-,-,-,-
mollusques et crustacés cuits,10084,"Calmar ou calamar ou encornet, frit ou poêlé avec matière grasse",173,"17,9","8,45","7,48",0,0,"1,88",260,"0,77",39,"1,01",38,279,"1,74",-,-,"4,2"
mollusques et crustacés cuits,10099,"Escargot, sans matière grasse ajoutée, cuit",80,"16,6","0,23","1,4","< 0,3",0,"0,31",-,"0,27",-,-,-,-,-,-,-,-
mollusques et crustacés crus,10001,"Calmar ou calamar ou encornet, cru",77,"14,4","2,17","1,19",0,0,"0,28",247,"0,61","17,5","0,2","44,2",227,"1,13","0,36","1,39","4,7"
mollusques et crustacés crus,10003,"Coquille Saint-Jacques, noix et corail, crue",83,17,"0,78","1,31",0,0,"0,19","42,2","0,48",220,"1,16","51,4",388,"2,91","< 0,5",0,0
mollusques et crustacés crus,10008,"Escargot, cru","77,9","16,1","1,29","0,92",0,0,"0,19","57,5","0,35",90,"2,6","48,3",35,"1,17","< 0,5",5,15
mollusques et crustacés crus,10010,"Homard, cru","85,5","17,9","0,94","1,15",0,0,"0,13",117,"0,9","68,8","0,45","34,2",204,"2,96",0,"1,19","2,5"
mollusques et crustacés crus,10011,"Huître, sans précision, crue","67,2","8,64","3,86","1,91",traces,0,"0,34","20,3","1,45","92,7","2,18","90,2",175,"22,5","< 0,5","1,21","5,13"
mollusques et crustacés crus,10014,"Moule commune, crue","71,8","11,2","2,69","1,82",0,0,"0,45","65,2","0,85","51,5","6,78",31,276,"2,36",0,"1,6","6,4"
mollusques et crustacés crus,10015,"Langouste, crue","86,9","17,7","1,07","1,34",0,0,"0,25",125,"0,45","60,6","1,12","30,3",340,"5,69",-,"1,47",2
mollusques et crustacés crus,10016,"Seiche, crue","76,3","16,2","0,51","1,05",0,0,"0,35",111,"0,93","37,1","2,74",31,351,"1,81",0,"2,4","5,3"
mollusques et crustacés crus,10017,"Clam, Praire ou Palourde, cru","80,5","11,5","2,66","2,65",0,0,"0,21",40,"0,82",46,"7,81",19,180,"0,96",0,"0,68",13
mollusques et crustacés crus,10018,"Poulpe, cru","60,1","12,9","0,97","0,5",0,0,"0,16",101,"0,68","50,1","2,32",33,265,"2,36","0,5","1,65",5
mollusques et crustacés crus,10019,"Bulot ou Buccin, cru",131,"23,8","7,61","0,57",0,0,"0,031",65,"0,52",57,"5,02",86,347,"1,62",0,"0,13",4
mollusques et crustacés crus,10021,"Crevette, crue",99,"19,7","3,21","0,84",0,0,"0,19",150,"0,45","84,8","3,21","49,8",278,"2,81","< 0,2","1,7",0
mollusques et crustacés crus,10024,"Langoustine, crue","89,8","19,1","1,53","0,79",0,0,"0,21","79,4","0,72","41,5","2,92","43,3",505,"3,4",0,"1,5",3
mollusques et crustacés crus,10026,"Moule de Méditerranée, crue","68,7","10,7","2,77","1,67",0,0,-,-,-,88,"10,9",44,382,"4,6",-,-,-
mollusques et crustacés crus,10030,"Écrevisse, crue","68,3","14,8","0,81","0,64",0,0,"0,11",131,"0,39","53,5","1,71","25,5",300,"1,18","0,25","1,5","1,7"
mollusques et crustacés crus,10035,"Huître creuse, crue","67,2","8,64","3,86","1,91",0,0,"0,34","20,3","1,41",81,"2,07","78,1",215,"21,8","< 0,5","1,21","6,5"
mollusques et crustacés crus,10036,"Huître plate, crue","53,5","10,2","1,16","0,9",0,0,"0,17",98,"1,28",186,6,-,260,45,"0,54","0,46",0
mollusques et crustacés crus,10038,"Crevette, surgelée, crue",105,"23,4","0,74","0,9",0,"< 0,5","0,17",160,"0,6",-,-,-,-,"0,9",-,"2,85",0
mollusques et crustacés crus,10039,"Crabe, cru",104,"19,5","0,027","2,86",0,0,"0,47",78,"0,69",84,"1,67","42,5",268,"7,7",0,"2,4","2,5"
mollusques et crustacés crus,10041,"Ormeau, cru","99,6","14,4","8,69","0,83",0,0,"0,15",85,"0,47",31,"5,9",48,215,"0,82",0,4,2
mollusques et crustacés crus,10045,"Coquille Saint-Jacques, noix, crue","83,6","17,9","1,15","0,84",0,0,"0,094",38,"0,34","11,9","0,58",44,392,"1,56","< 0,5","1,04",-
mollusques et crustacés crus,10048,"Pecten d'Amérique ou Peigne du canada, noix, crue","81,3","17,3","1,78","0,54",0,0,-,-,-,22,-,-,-,-,-,-,-
mollusques et crustacés crus,10049,"Pétoncle ou Peigne du Pérou, noix, crue","88,7","17,5","3,1","0,7",0,0,"0,3",-,"0,38",-,-,-,-,-,-,-,-
mollusques et crustacés crus,10059,"Crevette rose, crue","92,3","21,9",0,"0,53",0,0,"0,11",112,"0,3",64,"0,52",35,264,"1,34",-,-,-
mollusques et crustacés crus,34500,"Grenouille, cuisse, crue",70,"16,2","0,66","0,28",0,0,"0,073",50,"0,14","18,5","2,58","21,5",302,"1,5","0,35",1,5
produits à base de poissons et produits de la mer,8059,Rillettes de crabe,192,"12,2","3,5","13,6","1,6","3,5","1,1",-,"1,11",-,-,-,-,-,-,-,-
produits à base de poissons et produits de la mer,8080,Rillettes de poisson,243,"13,9","0,3","20,7","0,3",0,"4,24","42,7","0,96",26,"0,55",22,200,"0,39","2,58","4,05","< 0,5"
produits à base de poissons et produits de la mer,8081,Rillettes de saumon,237,"15,1",2,"18,4","0,9","1,6","2,4","29,9","1,3",14,"0,4",21,222,"0,4","2,5","4,65",-
produits à base de poissons et produits de la mer,8082,Rillettes de thon,199,"16,4","1,65","13,8","1,2","1,4","1,1","44,9","1,24","18,4","0,7","25,5",202,"0,5","1,2","7,09",-
produits à base de poissons et produits de la mer,8083,Rillettes de maquereau,246,11,1,22,0,0,-,-,-,-,-,-,-,-,-,-,-
produits à base de poissons et produits de la mer,8291,Terrine de poisson,171,11,"5,5","11,4","0,2","1,4",4,"37,3","1,25","30,5","0,4",19,210,"0,4","1,2",4,"< 0,5"
produits à base de poissons et produits de la mer,8292,"Terrine de fruits de mer, avec ou sans poisson",188,"8,4","6,5",14,"1,2","1,3","3,4","37,3","1,48",183,"2,3","22,7",157,"1,2","1,2",4,0
produits à base de poissons et produits de la mer,8293,"Tarama, préemballé",534,"6,75","3,19","54,8","0,75","0,74","4,61","65,2","1,69","8,5","0,4","6,6","80,9","0,7","0,96",9,"< 0,5"
produits à base de poissons et produits de la mer,10002,"Calmar ou Calamar ou encornet, à la romaine (beignet)",252,"8,69","21,2","14,4","2,58","1,66","1,77",90,"2,13","32,1",< 1,"20,4","88,8",< 1,"< 0,2","1,8",0
produits à base de poissons et produits de la mer,10005,"Crabe, miettes et ou pattes décortiquées, appertisé, égoutté",111,"16,8","6,7","1,8","0,6","< 0,33","0,23",78,"1,59",120,"3,5",32,110,"11,9",0,"2,4",0
produits à base de poissons et produits de la mer,10012,"Langoustine, panée, frite",288,"12,5",29,"13,6",traces,traces,"1,5",110,"1,65",-,"1,7",24,130,"0,6",0,0,0
produits à base de poissons et produits de la mer,10023,Beignet de crevette,222,"6,5",26,10,11,1,"0,5",-,"1,9",77,1,"18,1",102,"0,5",-,-,-
produits à base de poissons et produits de la mer,10028,"Moule, appertisée, égouttée",102,"14,6","5,93","2,2","0,5",0,"0,54",38,"1,6",57,"8,44",42,98,"3,56",0,"3,5",0
produits à base de poissons et produits de la mer,10042,"Escargot en sauce au beurre persillé, cuit",277,"12,9","2,26","23,7","1,02","1,69","14,8",225,"1,66",-,"2,5",35,89,"1,2","< 0,5",-,-
produits à base de poissons et produits de la mer,10081,"Moules à la sauce catalane ou escabèche (tomate), appertisée, égouttée",145,"12,5",5,"7,9","3,7",2,"0,91",-,"1,73",-,-,-,-,-,-,-,-
produits à base de poissons et produits de la mer,25433,Accra de poisson,275,"12,4","15,1","17,6","2,55",3,"2,3","68,8","1,24","55,3","1,1",18,216,"0,8","< 0,5","4,84","0,5"
produits à base de poissons et produits de la mer,25537,Carpaccio de saumon avec marinade,217,"18,3","0,22","15,8",0,"0,26","3,01","51,9","0,34","14,9","0,64","24,7",279,"0,55","4,23","3,25","4,21"
produits à base de poissons et produits de la mer,25999,"Anchois, filets roulés aux câpres, semi-conserve, égoutté",198,"24,8","1,48","10,3",-,< 1,"0,86",-,-,-,-,-,-,-,-,-,-
produits à base de poissons et produits de la mer,26000,"Anchois, filets à l'huile, semi-conserve, égoutté",182,"26,4","< 0,2","8,45",0,"< 0,25","3,08","75,5","11,3",189,"3,22","43,7",355,"2,92","1,7","1,16","< 0,5"
produits à base de poissons et produits de la mer,26002,"Carrelet ou plie, pané, frit",242,"13,4","8,86","16,8",0,1,2,60,"0,66",27,"0,54","22,4",234,"0,73",0,0,0
produits à base de poissons et produits de la mer,26004,"Oeufs de lompe, semi-conserve",111,"10,4",1,"7,27",0,0,"1,97",253,"4,87","11,6","0,4",3,"68,4","0,8","2,65","1,89","< 0,5"
produits à base de poissons et produits de la mer,26005,"Caviar, semi-conserve",254,25,traces,"17,1",traces,0,"3,21",-,-,-,-,-,-,"0,8",-,"1,6",-
produits à base de poissons et produits de la mer,26010,Hareng mariné ou rollmops,211,"13,7",8,"13,8","1,9",0,"2,51","36,5","2,56","53,5","1,07","7,2","56,5","0,59","13,2","1,48",0
produits à base de poissons et produits de la mer,26016,"Limande-sole, panée, frite",206,"16,7","11,9","10,2",1,0,"1,3",-,"0,69",-,-,-,-,"0,5",-,"0,1",-
produits à base de poissons et produits de la mer,26027,"Pilchard, sauce tomate, appertisé, égoutté",168,"14,9","2,28",11,1,0,"2,35",56,1,250,"2,5",29,310,"1,3",14,"2,5",traces
produits à base de poissons et produits de la mer,26028,"Poisson, croquette ou beignet ou nuggets, frit",255,"13,2","18,4","13,7","1,6","2,5","1,69",49,"1,04","31,1","0,7","22,3",259,"0,41",traces,0,traces
produits à base de poissons et produits de la mer,26029,"Poisson pané, surgelé, cru",162,11,"16,1","5,73","2,2","0,9","1,3",21,"0,69",20,"0,51",29,322,"0,53",traces,-,traces
produits à base de poissons et produits de la mer,26030,"Poisson pané, frit",193,"11,9","13,4",10,"1,1","0,9","2,15",36,"0,84","15,1","0,44","32,4",286,"0,39",traces,"3,8","< 0,5"
produits à base de poissons et produits de la mer,26034,"Sardine, à l'huile, appertisée, égouttée",207,"24,4","0,49",12,0,0,"2,56","59,4","0,75",333,"1,97","38,5",368,"1,89","7,56","1,44",0
produits à base de poissons et produits de la mer,26035,"Sardine, sauce tomate, appertisée, égouttée",193,"20,2","1,38","11,6","0,7","1,05","3,04","80,8","0,7",378,"2,6","32,5",376,"1,8","12,5","2,3",0
produits à base de poissons et produits de la mer,26039,"Thon, au naturel, appertisé, égoutté",111,"26,8",0,"0,4",0,0,"0,086",50,"0,74","6,26","0,76",24,207,"0,45","5,08","1,2",0
produits à base de poissons et produits de la mer,26040,"Sardine, à l'huile d'olive, appertisée, égouttée",202,"24,3","1,06","11,2",0,0,"3,13","47,6","0,73",798,"3,3",-,357,"2,2","10,8","1,9",0
produits à base de poissons et produits de la mer,26046,"Surimi, bâtonnets, tranche ou râpé saveur crabe",125,"8,31","11,8","4,92","2,1","< 0,33","0,46","10,8","1,58",19,"0,4","11,5","51,8","0,19","< 0,5","1,1",0
produits à base de poissons et produits de la mer,26056,"Oeufs de cabillaud, fumés, semi-conserve",146,"26,9","0,1","4,2",-,0,"0,56",-,"0,73","8,2","1,11","12,8",280,"4,3","27,2",-,-
produits à base de poissons et produits de la mer,26071,"Thon à l'huile, appertisé, égoutté",208,"25,9","1,03",11,"< 0,11","< 0,75","1,58","26,4","0,4","5,12","0,93","32,6",309,"0,43","3,78","1,39",0
produits à base de poissons et produits de la mer,26077,"Thon germon ou thon blanc, cuit à la vapeur sous pression",166,30,0,"5,06",0,0,"1,35",-,"0,1","1,33","1,01","34,3",390,"0,54",-,-,-
produits à base de poissons et produits de la mer,26086,"Maquereau, filet sauce tomate, appertisé, égoutté",227,"17,7","1,94","16,3","0,94","1,02","2,92",75,"0,64",20,"1,1",25,326,1,"2,38","0,9",0
produits à base de poissons et produits de la mer,26096,"Maquereau, filet sauce moutarde, appertisé, égoutté",217,"20,8","1,09","14,2","0,8","0,58","3,92","71,5","1,01","22,9","1,3","26,7",180,"0,4","7,3","1,63",-
produits à base de poissons et produits de la mer,26097,"Maquereau, filet au vin blanc, appertisé, égoutté",207,"17,8","2,25","14,1","0,5",0,"2,92","56,4","0,97",184,"0,84",17,165,"1,02","5,44","0,88",traces
produits à base de poissons et produits de la mer,26119,"Saumon, appertisé, égoutté",180,"20,5","1,5","10,2",0,0,"1,68",90,"1,22",270,"0,45",42,300,"0,7",13,"1,5",0
produits à base de poissons et produits de la mer,26123,"Maquereau, au naturel, appertisé, égoutté",189,"21,6",0,"11,4",0,0,"2,73","79,5","1,21",128,"1,57","30,5",225,"1,31","5,01","0,97",0
produits à base de poissons et produits de la mer,26124,"Merlan, pané",190,"12,6",13,"9,57","1,7","0,9","1,1",0,"0,64",48,"0,7",33,320,0,0,"2,48",0
produits à base de poissons et produits de la mer,26142,"Foie de morue, appertisé, égoutté",433,"7,25","1,1","44,4",-,0,"6,87",186,"1,12",10,"2,1","10,3",130,2,"54,3","4,96",4
produits à base de poissons et produits de la mer,26177,"Anchois au sel (anchoité, semi-conserve)",128,25,0,"3,1",0,0,"0,82",70,"9,01",542,"6,9",-,215,"1,7","4,6","0,29",0
produits à base de poissons et produits de la mer,26179,"Thon germon ou thon blanc, à l'huile d'olive, appertisé, égoutté",192,"31,3","1,01","6,95",0,0,"1,41","40,1","0,67",1,"0,5","35,9",331,"0,4","0,86","1,75",0
produits à base de poissons et produits de la mer,26181,"Thon albacore ou thon jaune, au naturel, appertisé, égoutté",129,"26,6","0,9","1,98","< 0,094","< 1,5","0,71","60,7","0,71","1,5","1,3","26,1",245,"0,4","6,1","1,08",-
produits à base de poissons et produits de la mer,26186,"Maquereau, mariné",185,"16,3",traces,"13,3",traces,0,-,-,"2,29","14,6","0,6","13,6","90,8","0,25","7,3",-,-
produits à base de poissons et produits de la mer,26187,"Anchois commun, mariné",136,"23,9","2,7","3,26",0,0,"1,04",105,"5,58",120,"2,8",102,159,"1,95","2,4","1,1",-
produits à base de poissons et produits de la mer,26231,"Sardine, filets sans arêtes à l'huile d'olive, appertisés, égouttés",213,"21,5","0,62","13,9",0,0,"3,16",-,"0,7",108,"2,3",37,357,2,"7,4","2,1",-
produits à base de poissons et produits de la mer,26239,"Surimi, fourré au fromage",149,"6,6","9,24","9,3","2,8",< 1,"3,84","28,3","1,72",19,"0,08","9,5",49,"0,2","< 0,25","0,98","< 0,5"
produits à base de poissons et produits de la mer,26242,"Miettes de thon à la tomate, appertisées",130,"14,6","4,33","5,93","3,33","0,58","0,83",-,"1,22",-,-,-,-,-,-,-,-
produits à base de poissons et produits de la mer,26243,"Thon, à la catalane ou à l'escabèche (sauce tomate), appertisé",142,"10,8","5,05","8,6","2,93","< 1,5","0,67",-,1,-,-,-,-,-,-,-,-
produits à base de poissons et produits de la mer,26245,"Miettes de thon à l'huile, appertisées",213,"24,3","< 0,1","12,5","< 0,25",< 3,"1,49",-,"0,65",-,-,-,-,-,-,-,-
produits à base de poissons et produits de la mer,26275,"Oeufs de saumon, semi-conserve",224,"30,8","1,5","10,5","< 0,2",0,"2,05",541,"2,34","5,6","0,08","8,1",94,"< 0,05",27,"7,52","< 0,5"
œufs,22008,"Oeuf, blanc (blanc d'oeuf), cuit","47,3","10,3","1,12","0,17","0,7",0,0,0,"0,39","6,67","0,067","9,67",147,"0,025",0,0,0
œufs,22009,"Oeuf, jaune (jaune d'oeuf), cuit",340,16,"1,31","30,1","0,55",0,"8,49",612,"0,035","76,4","0,95","4,5","58,6","1,4","2,11",5,0
œufs,22010,"Oeuf, dur",134,"13,5","0,52","8,62","0,52",0,"2,55",355,"0,31",41,"1,72",14,120,"1,27","1,12","1,03",0
œufs,22011,"Oeuf, poché",139,"12,5","0,89","9,47","0,37",0,"2,99",370,"0,2","68,2","1,75","10,8",138,"1,1",2,"1,04",0
œufs,22014,"Oeuf, à la coque",142,"12,2","1,08","9,82","0,77",0,"3,11",222,"0,2",150,"1,9","11,7",164,"0,93","1,28","2,17","< 0,5"
œufs,22502,"Oeuf, brouillé, avec matière grasse",145,"9,99","1,62",11,"1,43",0,"3,33",277,"0,48",66,"1,31",11,132,"1,04","1,8","0,98",0
œufs,22505,"Oeuf, au plat, sans matière grasse",147,"13,8","1,01","9,72",-,0,"2,71",736,"0,4",-,"2,6",-,-,-,"0,74",-,-
œufs,22000,"Oeuf, cru",140,"12,7","0,27","9,83","0,27",0,"2,64",398,"0,31","76,8","1,88",11,134,"1,01","1,88","1,43",0
œufs,22001,"Oeuf, blanc (blanc d'oeuf), cru","48,1","10,8","0,85","0,19","0,71",0,0,0,"0,42",6,"0,05",11,163,"0,03",0,0,0
œufs,22002,"Oeuf, jaune (jaune d'oeuf), cru",307,"15,5","1,09","26,7","0,56",0,"8,47",939,"0,048","50,2","0,7","1,5",43,"1,1",2,"3,89",0
œufs,22050,"Oeuf de caille, cru",154,"13,1","0,41","11,1","0,4",0,"3,56",844,"0,35",64,"3,65",13,132,"1,47","1,4","1,08",0
œufs,22060,"Oeuf de cane, cru",181,13,"1,31","13,8","0,93",0,"3,68",884,"0,37",64,"3,85",17,222,"1,41","1,7","1,34",0
œufs,22070,"Oeuf d'oie, cru",180,"13,8","1,4","13,3","0,94",0,"3,6",852,"0,35",60,"3,64",16,210,"1,33","1,7","1,29",0
œufs,22080,"Oeuf de dinde, cru",166,"13,7","1,13","11,9",1,0,"3,63",933,"0,38",99,"4,1",13,142,"1,58","1,75","1,11",0
œufs,22003,"Oeuf, jaune (jaune d'oeuf), en poudre",660,"34,1","2,77",57,"0,07",0,"17,6",2320,"0,37",296,"7,46","19,5",254,"6,33","11,4","4,81",0
œufs,22004,"Oeuf, blanc (blanc d'oeuf), en poudre",356,"81,2","7,73",0,"5,4",0,0,0,"3,2",62,"0,15",88,1130,"0,1",0,0,0
œufs,22013,"Oeuf, en poudre",582,"47,9","3,11",42,"0,3",0,"13,1",1670,"1,25",234,"5,56",38,517,"4,22","3,1","1,11",0
laits,19023,"Lait entier, UHT","65,1","3,32","4,85","3,63","4,2",0,"2,4","12,5","0,11",120,"0,01","9,8",160,"0,37","< 0,25","0,089","< 0,5"
laits,19024,"Lait entier, pasteurisé","56,5","3,3","3,47","3,3",-,0,"2,16",14,"0,2",117,"0,04","10,9",140,"0,37","0,1","0,089","1,2"
laits,19041,"Lait demi-écrémé, UHT","45,8","3,28","4,8","1,53","4,8",0,"0,9","5,7","0,11",117,"0,045","12,1",167,"0,39","< 0,5","0,13","1,5"
laits,19042,"Lait demi-écrémé, pasteurisé","47,3","3,83","4,47","1,6",-,0,"1,12",6,"0,093",119,"0,031","11,1",153,"0,41","0,085","0,041","1,3"
laits,19049,"Lait demi-écrémé, UHT, enrichi en vitamines","45,6","3,24","4,8","1,53","4,8",0,1,-,"0,13",120,-,-,-,-,"0,75",-,-
laits,19050,"Lait écrémé, UHT","33,7","3,26","4,99","0,11","4,8",0,"0,1",2,"0,11",105,"0,028","12,3",166,"0,37",traces,traces,"0,89"
laits,19051,"Lait écrémé, pasteurisé","34,5","3,28","4,99","0,19","4,93",0,"0,11","2,5","0,11",123,"0,03","11,6",157,"0,42","0,075","0,009","1,3"
laits,19060,"Lait demi-écrémé, à teneur réduite en lactose",46,"3,27","4,8","1,55","4,8",0,1,-,"0,13",120,-,-,-,-,-,-,-
laits,19200,"Lait de chèvre, entier, UHT","56,1","3,39","4,35","2,83","4,35",0,"1,8",11,"0,13",134,"0,05",14,204,"0,3","0,06","0,04","1,3"
laits,19201,"Lait de chèvre, demi-écrémé, UHT","45,8","3,77","4,13","1,57","4,13",0,"1,06","7,33","0,15",110,"0,02",13,190,"0,33","< 0,03","< 0,08","< 0,5"
laits,19202,"Lait de chèvre, entier, cru","57,4","3,22","4,01","3,2","4,01",0,"2,16","12,1","0,091",107,"0,17","12,9",-,"0,33","< 0,2","0,056","< 0,2"
laits,19225,"Lait de jument, entier",50,"2,41","6,18","1,73",-,0,"0,82","8,5","0,05","87,4","0,065","7,95","63,3","0,15",-,"0,026",15
laits,19250,"Lait de brebis, entier",103,"5,68","4,5","6,97","4,5",0,"4,8",27,"0,11",199,"0,46","17,1",103,"0,54","0,2","0,15","4,2"
laits,19021,"Lait en poudre, entier",499,"27,4","37,5","26,8","37,5",0,"17,3",107,"0,9",960,"0,62",93,1190,"3,91","1,2","0,68",10
laits,19026,"Lait concentré non sucré, entier",132,"6,89","9,29","7,54","9,29",0,-,-,"0,28",273,"0,06","25,7",339,"0,8","0,1","0,2","1,9"
laits,19027,"Lait concentré sucré, entier",323,"7,7","55,6","7,87","55,6",0,"5,17",34,"0,21",290,"0,19","25,2",371,"0,96","0,2","0,16","2,6"
laits,19044,"Lait en poudre, demi-écrémé",435,"29,5","45,9","15,1","40,4",0,-,-,"0,87",1030,"0,35",97,1330,"3,7","0,2","0,4",-
laits,19054,"Lait en poudre, écrémé",361,"35,3",54,"0,7","53,1",0,"0,34",13,"1,21",1250,"0,31",112,1670,"4,47","0,018","0,027","6,1"
laits,19039,"Lait, teneur en matière grasse inconnue, UHT (aliment moyen)","46,2","3,28","4,82","1,57","4,77",0,"0,94","5,87","0,11",116,"0,042",12,167,"0,39","0,23","0,12","1,39"
