alim_code,alim_ssgrp_nom_fr,source AJOUT,alim_nom_fr,Energie (kcal/100g),Protéines (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Fibres alimentaires (g/100g),AG saturés (g/100g),Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Fer (mg/100g),Magnésium (mg/100g),Potassium (mg/100g),Zinc (mg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine C (mg/100g)
76067,eaux,,Eau minérale Courmayeur (Italie),0,0,0,0,0,0,0,0,"0,00025","51,7",0,"6,7","0,2",traces,0,0,0
76068,eaux,,Eau minérale Highland spring (Écosse),0,0,0,0,0,0,0,0,"0,0013","3,5",0,"0,9","0,06",traces,0,0,0
76069,eaux,,Eau minérale Levissima (Italie),0,0,0,0,0,0,0,0,"0,00005",2,0,"0,2","0,2",traces,0,0,0
76070,eaux,,Eau minérale Luso (Portugal),0,0,0,0,0,0,0,0,"0,0015","0,1",0,"0,2",0,traces,0,0,0
76071,eaux,,Eau minérale Néro (Grèce),0,0,0,0,0,0,0,0,"0,01","5,9",0,"3,5","0,2",traces,0,0,0
76072,eaux,,Eau minérale Penacova (Portugal),0,0,0,0,0,0,0,0,"0,0015","0,1",0,"0,1",0,traces,0,0,0
76073,eaux,,Eau minérale San Benedetto (Italie),0,0,0,0,0,0,0,0,"0,00033","4,6",0,"2,8","0,1",traces,0,0,0
76074,eaux,,Eau minérale San Bernardo (Italie),0,0,0,0,0,0,0,0,"0,000083","1,1",0,"0,05","0,04",traces,0,0,0
76075,eaux,,Eau minérale San Pellegrino (Italie),0,0,0,0,0,0,0,0,"0,011","20,8",0,"5,1","0,3",traces,0,0,0
76076,eaux,,Eau minérale Spa-Reine (Belgique),0,0,0,0,0,0,0,0,"0,00075","0,45",0,"0,13","0,05",traces,0,0,0
76077,eaux,,Eau minérale Talians (Italie),0,0,0,0,0,0,0,0,"0,0013","59,6",0,"7,7","0,2",traces,0,0,0
76078,eaux,,Eau minérale Valvert (Belgique),0,0,0,0,0,0,0,0,"0,00049","6,78",0,"0,2","0,045",traces,0,0,0
76079,eaux,,Eau minérale Appollinaris (Allemagne),0,0,0,0,0,0,0,0,"0,017",9,0,11,3,traces,0,0,0
76080,eaux,,Eau de source Cristaline,0,0,0,0,0,0,0,-,"0,0026","12,4",-,"2,5","0,35",-,-,-,-
76081,eaux,,"Eau minérale Biovive (Dax, 40)",0,0,0,0,0,0,0,-,"0,0028","4,2",-,"0,38","0,24",-,-,-,-
76082,eaux,,"Eau minérale La Cairolle (Les Aires, 34)",0,0,0,0,0,0,0,-,"0,0021",34,-,4,"1,25",-,-,-,-
76083,eaux,,"Eau minérale Cilaos (Cilaos, 974)",0,0,0,0,0,0,0,-,"0,0005","11,1",-,"7,05","0,53",-,-,-,-
76085,eaux,,"Eau minérale La Française (Propiac, 26)",0,0,0,0,0,0,0,-,"0,16","35,4",-,"8,3","2,2",-,-,-,-
76086,eaux,,"Eau minérale Montcalm (Auzat, 09)",0,0,0,0,0,0,0,-,"0,000099","0,3",-,"0,07","0,06",-,-,-,-
76087,eaux,,"Eau minérale Montclar (Montclar, 04)",0,0,0,0,0,0,0,-,"0,0005","4,1",-,"0,3",-,-,-,-,-
76088,eaux,,"Eau minérale Nessel (Soultzmatt, 68)",0,0,0,0,0,0,0,-,"0,0068","11,4",-,"5,42",4,-,-,-,-
76089,eaux,,"Eau minérale Ogeu (Ogeu-les-Bains, 64)",0,0,0,0,0,0,0,-,"0,0078","4,8",-,"1,2","0,1",-,-,-,-
76091,eaux,,"Eau minérale Prince Noir (St-Antonin-Noble-Val, 82)",0,0,0,0,0,0,0,-,"0,0015","52,8",-,"7,8","0,3",-,-,-,-
76092,eaux,,"Eau minérale St-Alban (St-Alban, 42)",0,0,0,0,0,0,0,0,"0,0033",18,"0,002",5,"2,8","0,001",0,0,0
76093,eaux,,"Eau minérale St-Géron (St-Géron, 43)",0,0,0,0,0,0,0,-,"0,0073","7,91",-,"5,37","1,84",-,-,-,-
76094,eaux,,"Eau minérale St-Michel-de-Mourcairol (Les Aires, 34)",0,0,0,0,0,0,0,-,"0,0036",23,-,10,"5,5",-,-,-,-
76095,eaux,,"Eau minérale Treignac (Treignac, 19)",0,0,0,0,0,0,0,-,"0,00053","0,12",-,-,"< 0,05",-,-,-,-
76096,eaux,,"Eau minérale Vals (Vals-les-Bains, 07)",0,0,0,0,0,0,0,0,"0,0041","2,22","< 0,001","1,35","3,38","0,0031",0,0,0
76097,eaux,,"Eau minérale Vauban (St-Amand-les-Eaux, 59)",0,0,0,0,0,0,0,-,"0,0096",23,-,"6,6","0,8",-,-,-,-
76100,eaux,,"Eau minérale Carola (Ribeauville, 68)",0,0,0,0,0,0,-,-,-,"7,3",-,2,-,-,-,-,-
76101,eaux,,"Eau minérale Mont-Blanc, (Italie)",0,0,0,0,0,0,-,-,-,"2,9",-,"0,24","0,19",-,-,-,-
76102,eaux,,"Eau minérale Eden (La Goa, Suisse)",0,0,0,0,0,0,-,-,-,"3,45",-,"0,31","0,07",-,-,-,-
2000,boissons sans alcool,,"Jus d'ananas, base de concentré","49,7","0,41","11,2","0,096","11,2","0,18","0,044",0,"0,011","14,3","0,15",17,144,"0,066",0,"0,02",15
2002,boissons sans alcool,,"Jus multifruit, multivitaminé",-,"0,48","11,3","0,1",11,"0,25",0,0,"0,0038","9,6","0,12","9,98",171,"0,036","< 0,5",2,24
2004,boissons sans alcool,,Jus de fruits (aliment moyen),43,"0,53","9,19","0,14","8,9","0,3","0,043",0,"0,014","5,28","0,12","9,23",153,"0,043","0,0001","0,24","32,9"
2006,boissons sans alcool,,"Jus de carotte, pur jus",-,"0,4","6,55","0,1","5,95","0,33","0,037",0,"0,1","13,6","0,46","8,75",210,"0,086",0,"1,16","8,5"
2007,boissons sans alcool,,"Jus de citron, maison","28,9","0,45","2,48","0,24","2,06","0,3","0,04",0,"0,0065","12,4","0,24","5,99",132,"0,049",0,"0,095","42,4"
2011,boissons sans alcool,,Jus multifruit - base orange,-,"< 0,5","11,7","< 0,8","11,1","< 0,5",-,-,"0,008",11,"0,1","8,7",150,"< 0,05",-,-,"34,7"
2012,boissons sans alcool,,Jus d'orange à base de concentré,"38,5","0,63","7,83","0,13","7,83","0,25","0,034",0,"0,0084","7,25","0,08","10,9",154,"0,022",0,"0,15","44,2"
2013,boissons sans alcool,,"Jus d'orange, maison",45,"0,66","9,44","0,2","8,4","0,2","0,024",0,"0,0035","10,5","0,079","13,2",200,"0,027",0,"0,04","52,6"
2014,boissons sans alcool,,Jus de pomme à base de concentré,44,"0,24","10,1","0,098","9,66","0,3","0,033",0,"0,014","6,45","0,085","7,07",128,"0,01",0,"0,01","13,2"
2015,boissons sans alcool,,Jus de pamplemousse à base de concentré,38,"0,52","7,67","0,1","7,67","0,21","0,055",0,"0,01","10,6","0,15","7,91",115,"0,037",0,"0,04","23,7"
2016,boissons sans alcool,,"Jus de raisin, pur jus","69,2","0,25","16,3","0,057",16,"0,14","0,031",0,"0,0089","8,29","0,47","8,35",114,"0,056",0,"0,4",-
2017,boissons sans alcool,,"Jus de grenade, pur jus",-,"0,15",13,"0,29","12,7","0,1","0,077",0,"0,023",11,"0,1",7,214,"0,09",0,"0,38","0,1"
2018,boissons sans alcool,,Jus de pruneau,-,"0,37","18,7","0,039","13,5","0,45","0,003",0,"0,025",12,"1,18",14,276,"0,21",0,"0,12","4,1"
2019,boissons sans alcool,,Jus de raisin à base de concentré,"61,8","0,31","14,2","0,11","14,2","0,15","0,055",-,"0,0074",16,"0,43","7,8",62,"< 0,05",-,"0,67",9
2023,boissons sans alcool,,"Jus de mangue, frais",-,"0,19","9,5",0,"9,3",traces,traces,0,"0,028",-,-,"14,3",-,"0,02",0,"1,05",-
2024,boissons sans alcool,,"Jus de fruit de la passion, frais",-,"0,67","14,3","0,18","14,3","0,2","0,015",0,"0,015",4,"0,36",17,278,"0,06",0,"0,01","18,2"
2025,boissons sans alcool,,"Jus de pamplemousse, frais","38,1","0,44","7,8","0,1","7,8","0,1","0,014",0,"0,0076",9,"0,2",12,162,"0,05",0,"0,22",38
2026,boissons sans alcool,,"Jus de tomate, pur jus, salé à 3 g/L","20,2","0,88","3,38","0,17","3,38","0,23",traces,-,"0,3","7,98",-,"12,5",263,-,-,-,-
2027,boissons sans alcool,,"Jus de pamplemousse, pur jus","38,2","0,49","7,83","0,083","7,83","0,15","0,044",0,"0,008","4,83","0,15","8,63",128,"< 0,1",0,"0,19","22,5"
2028,boissons sans alcool,,"Jus de citron, pur jus",-,"0,4","6,1","0,29","2,4","0,4","0,038",0,"0,053",11,"0,13",8,102,"0,06",0,"0,15","24,8"
2030,boissons sans alcool,,"Jus de citron vert, maison",-,"0,42","1,69","0,07","1,69","0,4","0,008",0,"0,005",14,"0,09",8,117,"0,08",0,"0,22",30
2031,boissons sans alcool,,"Jus de citron vert, pur jus","24,1","0,25","1,35","0,23","1,35","0,45","0,026",0,"0,031",12,"0,23",7,75,"0,06",0,"0,12","6,4"
2032,boissons sans alcool,,"Jus de tomate, pur jus, salé à 6g/L","19,1","0,88","3,07","0,11","3,06","0,56","0,07",0,"0,6","5,1","0,43","13,7",302,"0,23",0,"0,53",40
2034,boissons sans alcool,,"Jus de mandarine, pur jus",-,"0,66","10,6","0,14",10,"0,15","0,043",0,"0,0094","2,8","0,3","9,3",123,"< 0,1",0,"0,09","17,6"
2035,boissons sans alcool,,"Jus multifruit, pur jus standard",-,"0,47","11,4","0,1","10,9","0,43","0,04",0,"0,019","8,8","0,1","7,8",163,"0,05",0,"1,1","19,4"
2039,boissons sans alcool,,"Jus de grenade, frais",-,"0,2","11,6",0,"11,6",traces,0,0,"0,0025",3,"0,2",-,200,"0,1",0,"0,55",8
2053,boissons sans alcool,,"Jus de tomate, pur jus","19,7","0,88","3,22","0,14","3,22","0,4","0,035",,"0,45","6,54",,"13,1",283,,,,
