alim_code,alim_ssgrp_nom_fr,source AJOUT,alim_nom_fr,Energie (kcal/100g),Protéines (g/100g),Glucides (g/100g),Lipides (g/100g),Sucres (g/100g),Fibres alimentaires (g/100g),AG saturés (g/100g),Cholestérol (mg/100g),Sel chlorure de sodium (g/100g),Calcium (mg/100g),Fer (mg/100g),Magnésium (mg/100g),Potassium (mg/100g),Zinc (mg/100g),Vitamine D (µg/100g),Vitamine E (mg/100g),Vitamine C (mg/100g)
13719,fruits,,"Ananas au sirop léger, appertisé, non égoutté",-,"< 0,5",16,"0,078","15,7","1,01","0,009",0,"0,0047","5,77","0,12","11,4",101,"0,031",0,"0,01","5,11"
13730,fruits,,"Pêche au sirop léger, conserve",-,"0,5","13,8","< 0,5","13,1","1,5",-,-,"0,033",10,"0,13",5,100,"0,05",-,-,"2,78"
13731,fruits,,"Pêche au sirop léger, appertisée, non égouttée",-,"0,31","14,1","0,038","12,9","0,92","0,003",0,"0,0022","9,57","0,13","4,88",100,"0,054",0,"0,49","3,32"
13735,fruits,,"Poire au sirop léger, appertisée, non égouttée",-,"0,3","14,5","0,12","12,1","1,23","0,002",0,"0,013",5,"0,28",4,66,"0,08",0,"0,08","0,7"
13001,fruits,,"Abricot, dénoyauté, sec",-,"1,86","39,8","0,51","36,6","5,7","0,16",0,"0,098","61,3","4,33","36,5",1090,"0,3",0,"4,17",1
13011,fruits,,"Datte, pulpe et peau, sèche",287,"1,81","64,7","0,25","64,7","7,3","0,075",0,"0,098","44,9","0,9","47,3",696,"0,23",0,"0,46",3
13013,fruits,,"Figue, sèche",256,"2,99","53,7","0,87","48,7","9,72","0,35",0,"0,22",167,"2,12","52,5",845,"0,51",0,"0,35","1,2"
13042,fruits,,"Pruneau, sec",-,"2,82","55,7","0,63","38,1","7,35","0,13",0,"0,0081","49,7","1,66","38,3",656,"0,56",0,"1,37","2,3"
13046,fruits,,"Raisin, sec",283,"2,09","62,4","0,49","60,6","3,6","0,15",0,"0,098","63,8","2,24","32,7",779,"0,25",0,"0,12","3,47"
13089,fruits,,"Banane, pulpe, sèche",-,"3,89","78,4","1,81","47,3","9,9","0,7",0,"0,0075",22,"1,15",108,1490,"0,61",0,"0,39",7
13111,fruits,,"Pomme, sèche",-,"0,78","57,2","0,31","54,6","8,7","0,058",0,"0,22",22,"1,4","10,5",450,"0,2",0,"0,53","3,9"
13118,fruits,,"Pêche, sèche",-,5,"68,9",1,-,"14,3","0,092",0,"0,2",25,"6,8",80,945,"0,57",0,-,"4,8"
9570,fruits à coque et graines oléagineuses,,Farine de châtaigne,362,"5,69","70,4","3,43",-,"12,6","0,52",-,-,"61,6","< 0,1","67,9",-,"1,1",-,-,16
15000,fruits à coque et graines oléagineuses,,Amande (avec peau),634,"21,1","7,85","53,4","4,4","10,2","4,19",0,"0,004",248,3,232,668,"2,85",0,"14,6","< 0,5"
15001,fruits à coque et graines oléagineuses,,Cacahuète ou Arachide,623,"22,8","14,8","49,1","5,9","8,6","8,4",0,"0,022",57,"1,6",190,700,3,"10,3","2,46","< 0,5"
15002,fruits à coque et graines oléagineuses,,"Cacahuète, grillée, salée",631,"22,9",15,50,"4,22","8,04","8,64",0,"1,33","47,4","1,2",169,531,"2,92",0,"2,5","< 0,5"
15004,fruits à coque et graines oléagineuses,,Noisette,680,"13,9","6,99",63,"4,34","9,7","4,46",0,"0,044",116,"2,8",138,551,"2,25",0,"5,65","< 0,5"
15005,fruits à coque et graines oléagineuses,,"Noix, séchée, cerneaux",709,"13,3","6,88","67,3",3,"6,7","6,45",0,"< 0,13",75,"2,2",140,430,"2,7","< 0,25","1,67","0,77"
15006,fruits à coque et graines oléagineuses,,"Noix de coco, fraîche",365,"3,6","7,15","33,5","6,23",9,"29,7",0,"0,051",14,"2,43",32,356,"1,1",0,"0,24","3,3"
15007,fruits à coque et graines oléagineuses,,"Noix de coco, amande, sèche",690,"6,62","8,56","66,3","6,64",14,"57,7",0,"0,068","18,4","3,46",90,647,"1,26",0,"0,44","1,5"
15008,fruits à coque et graines oléagineuses,,Noix du Brésil,702,"14,8","5,28","66,7","2,33","6,4","16,2",0,"0,0075",150,"2,47",367,591,"4,13",0,"5,33","0,7"
15009,fruits à coque et graines oléagineuses,,"Pistache, grillée, salée",617,"18,9","15,9","49,5","7,57","9,32","6,58",0,"1,67","98,5","2,4",105,655,"2,3",0,"1,09","< 0,5"
15010,fruits à coque et graines oléagineuses,,"Sésame, graine",599,"17,6","9,81","49,7","0,3","14,9","7,09",0,"< 0,1",962,"14,6",324,468,"5,74",0,"0,25",0
15011,fruits à coque et graines oléagineuses,,"Tournesol, graine",653,"21,3","10,1","55,5","2,62","6,4","6,23",0,"0,011","86,5","4,9",364,578,"3,8",0,"42,3","1,4"
15013,fruits à coque et graines oléagineuses,,Crème de marrons,266,"1,28",63,"0,67",-,"1,3",-,-,-,-,-,-,-,-,-,-,"10,3"
15014,fruits à coque et graines oléagineuses,,"Noix de coco, amande immature, fraîche",360,"3,33","6,22","33,5","6,22",9,"29,7",0,"0,05",14,"2,43",32,356,"1,1",0,"0,24","3,3"
15016,fruits à coque et graines oléagineuses,,Crème de marrons vanillée,258,"0,96","60,2","0,7","43,2","3,2",0,-,"< 0,01","11,3","1,7","12,2",174,"0,3",-,-,"2,27"
15018,fruits à coque et graines oléagineuses,,"Mélange apéritif, graines & raisins secs",560,"16,6","27,1","39,6","21,6","8,4","4,98",-,"0,42",72,"2,1",160,700,"2,3","< 0,25","8,47","< 0,5"
15019,fruits à coque et graines oléagineuses,,"Noix de cajou, grillée, salée",632,"15,2","26,7","49,5","8,01","3,85","10,5",0,"1,15","40,3","3,9",223,546,"5,4",0,"0,75","< 0,5"
15020,fruits à coque et graines oléagineuses,,"Châtaigne, bouillie",139,"2,01",27,"1,38",-,"4,5","0,26",0,"0,035",46,"1,73",54,715,"0,25",0,1,"26,7"
15021,fruits à coque et graines oléagineuses,,"Châtaigne, grillée",236,"3,17","47,8","2,2","10,3","5,1","0,41",0,"0,0051",29,"0,91",33,592,"0,57",0,"0,5",26
15023,fruits à coque et graines oléagineuses,,"Noix, fraîche",703,"14,3","11,3","64,3",-,"5,6","5,44",0,"0,01","83,1","2,1",144,471,"2,7",0,"1,5","1,3"
15024,fruits à coque et graines oléagineuses,,"Châtaigne, crue",189,"1,81","36,5","2,23","7,86","7,45","0,37",0,"0,0081",27,"0,94","34,5",550,"0,51",0,"0,5","41,6"
15025,fruits à coque et graines oléagineuses,,Pignon de pin,695,"13,7","6,31",65,"5,21",10,"5,53",0,"0,023","6,2","4,6",227,662,"5,6",0,"8,47","< 0,5"
15026,fruits à coque et graines oléagineuses,,Noix de pécan,736,"9,57","5,27","72,6","3,64","8,33","6,62",0,"0,0025","69,8","2,57",123,409,"4,61",0,"1,4","0,97"
15027,fruits à coque et graines oléagineuses,,Noix de macadamia,740,"7,14","8,35","72,9","4,57","8,6","11,6",0,"0,013",85,"3,69",130,368,"1,3",0,"0,54","1,2"
15028,fruits à coque et graines oléagineuses,,"Cucurbitacées, graine",615,"30,2","4,71","49,1","1,4",6,"8,66",0,"0,018",46,"8,82",592,809,"7,81",0,"2,18","1,9"
15029,fruits à coque et graines oléagineuses,,"Luzerne, graine germée","29,2","3,28","0,91","0,7","0,2","1,9","0,069",0,"0,015",32,"0,96",27,79,"0,92",0,"0,02","8,2"
15032,fruits à coque et graines oléagineuses,,"Luzerne, graine",426,"29,7","39,3","12,6",-,"7,9",-,-,-,136,"12,9",-,-,"6,9",-,-,26
15033,fruits à coque et graines oléagineuses,,Noisette grillée,702,"14,4","5,21",66,"4,26","9,4","4,51",0,-,123,"4,38",173,755,"2,5",0,"15,3","3,8"
15034,fruits à coque et graines oléagineuses,,"Lin, graine",506,"20,2","6,6","36,6","1,55","27,3","3,17",0,"0,051",228,"10,2",372,641,"6,05",0,"0,31","0,6"
15035,fruits à coque et graines oléagineuses,,"Sésame, graine décortiquée",646,"21,1","4,5","56,1","0,48","11,9","8,1",0,"0,073","62,4","6,36",348,419,"7,24",0,"1,68",0
15037,fruits à coque et graines oléagineuses,,"Cacahuète, grillée",632,"22,8","13,9","50,5","3,13","8,35","7,7",0,"0,61",58,"1,58",178,634,"2,77",0,"4,93",0
15038,fruits à coque et graines oléagineuses,,"Sésame, grillé",582,17,"9,14",48,"0,48","16,9","6,72",0,"0,098",131,"7,78",346,406,"10,2",0,"0,25",0
15039,fruits à coque et graines oléagineuses,,"Châtaigne ou Marron, appertisé",145,"1,96","28,8","1,4","3,9",4,"0,4","0,2","0,13","21,1",< 1,"24,1",359,-,-,"< 0,1",-
15041,fruits à coque et graines oléagineuses,,"Amande, mondée, émondée ou blanchie",631,"21,4","8,76","52,5","4,63","9,9","3,95",0,"0,048",236,"3,28",268,659,"2,97",0,"23,8",0
15042,fruits à coque et graines oléagineuses,,"Amande, grillée, salée",638,"21,1","8,72","53,9","4,86","10,9","4,09",0,"1,25",268,"3,73",279,713,"3,31",0,"23,9",0
15043,fruits à coque et graines oléagineuses,,"Noix de macadamia, grillée, salée",724,"7,04","9,95","70,2","4,4","9,5",11,0,"0,9",70,"2,65",118,363,"1,29",0,"0,57","0,7"
15044,fruits à coque et graines oléagineuses,,"Pistache, grillée",608,"18,4","18,6","47,4","7,74","10,1","5,52",0,"0,015",108,"4,1",115,1020,"2,3",0,"2,42","3,33"
15045,fruits à coque et graines oléagineuses,,"Tournesol, graine, grillé salé",618,"19,3","15,1","49,8","2,73",9,"5,22",0,"1,64",70,"3,8",129,850,"5,29",0,"26,1","1,4"
15046,fruits à coque et graines oléagineuses,,"Noix de pécan, salées",731,"10,2",5,73,"4,9",3,"7,1",-,1,-,-,-,-,-,-,-,-
15047,fruits à coque et graines oléagineuses,,"Chia, graine, séchée",454,"16,5","7,72","30,7",-,"34,4","3,33",0,"0,04",631,"7,72",335,407,"4,58",-,"0,5","1,6"
15048,fruits à coque et graines oléagineuses,,Mélange graines non salées & fruits séchés,384,"8,29","23,8","26,3",7,"6,36","5,07",-,"0,3",88,4,120,712,2,-,-,-
15049,fruits à coque et graines oléagineuses,,Mélange graines non salées & raisins secs,543,"13,8","30,4","37,9","26,1","7,5",4,12,"0,66","95,8","2,9",143,624,2,0,"7,28",traces
15050,fruits à coque et graines oléagineuses,,"Noisette grillée, salée",664,"13,4","7,67","61,2","2,91","9,43","6,43",-,"0,83",-,-,-,-,-,-,-,-
15052,fruits à coque et graines oléagineuses,,"Lin, brun, graine",533,18,"3,56","42,2","1,4","26,9","4,61",-,"0,095",210,"5,7",300,750,"5,1","< 0,25","0,5",-
15200,fruits à coque et graines oléagineuses,CIQUAL,"Amande, poudre ou farine",631,"21,4","8,76","52,5","4,63","9,9","3,95",0,"0,048",236,"3,28",268,659,"2,97",0,"23,8",0
15201,fruits à coque et graines oléagineuses,,"Pâte d'amande, préemballée",467,"7,19","58,1","20,6","56,6","7,2","1,63",0,"0,053",102,"2,5",75,316,"1,4",0,12,0
15202,fruits à coque et graines oléagineuses,,Beurre de cacahuète,648,"22,2",16,"52,5","10,5",5,"10,4",0,"0,99",43,"1,92",174,629,"2,76",0,"6,9",0
15203,fruits à coque et graines oléagineuses,,Tahin ou Purée de sésame,631,"17,7","13,8","53,4","0,49",7,"7,48",0,"0,19",284,"6,69",95,437,"4,62",0,"0,25","4,2"
20581,fruits à coque et graines oléagineuses,,"Arachide, bouillie, salée",316,"15,5","9,54",22,"2,47","8,8","3,06",0,"1,88",55,"1,01",102,180,"1,83",0,"4,1",0
20901,fruits à coque et graines oléagineuses,,"Soja, graine entière",432,"34,5","20,8","19,2","7,33",13,"2,72",0,"0,0075",220,"15,7",253,1740,"2,95",0,"0,85",6
9081,"pâtes, riz et céréales",,Blé dur précuit grains entiers,144,"5,25","27,7","0,72","0,57","2,4","0,3","0,2","0,026","15,3","0,72",27,"94,2","0,48",0,"< 0,1",0
9085,"pâtes, riz et céréales",,Nouilles asiatiques aromatisées,111,"4,78","9,89","4,3",2,"6,3","0,5",-,"1,2",-,-,-,-,-,-,-,-
9086,"pâtes, riz et céréales",,Nouilles asiatiques nature,165,"3,5","21,4","6,9",-,1,"3,16",-,"0,23",11,"0,32","9,1",26,"0,19",-,-,-
9103,"pâtes, riz et céréales",,"Riz complet, cuit, non salé",158,"3,21","32,6",1,"< 0,2","2,3","0,17","1,16","< 0,01",13,"0,32",49,43,"0,62",0,"0,08","< 0,5"
9104,"pâtes, riz et céréales",,"Riz blanc, cuit, non salé",145,"2,92","31,8","0,41","< 0,2","0,8","0,076","0,75","< 0,01",14,"0,04","7,1",16,"0,26",0,"< 0,08","< 0,5"
9105,"pâtes, riz et céréales",,"Riz blanc étuvé, cuit non salé",146,"2,95","31,7","0,56","0,11","1,1","0,33",0,"0,0059","11,1","< 0,1",10,"41,7","< 0,1",0,"0,01",0
9110,"pâtes, riz et céréales",,"Riz rouge, cuit, non salé",141,"3,45","28,2","0,69",-,4,-,-,"0,0088","19,9",< 1,"54,5","75,4",< 1,-,"< 0,1",-
9111,"pâtes, riz et céréales",,"Riz sauvage, cuit, non salé",102,"3,8","19,7","0,34","0,73","1,8","0,049",0,"0,0075",3,"0,6",32,101,"1,34",0,"0,24",0
9322,"pâtes, riz et céréales",,Orge perlée bouillie non salée,119,"2,26","24,4","0,44","0,28","3,8","0,093",0,"0,0075",11,"1,33",22,93,"0,82",0,"0,01",0
9331,"pâtes, riz et céréales",,"Mil, cuit, non salé",116,"3,51","22,4",1,"0,13","1,3","0,17",0,"0,005",3,"0,63",44,62,"0,91",0,"0,02",0
9341,"pâtes, riz et céréales",,"Quinoa, bouilli, non salé",116,"4,1","18,8","1,92","0,87","2,8","0,23",0,"0,018",17,"1,49",64,172,"1,09",0,"0,63",0
9615,"pâtes, riz et céréales",,"Polenta semoule de maïs, cuite",65,"1,38","13,5","0,31","< 0,2","1,3",-,"2,28","< 0,01","5,1","0,09","7,5",25,"0,12",-,"< 0,08","< 0,5"
9683,"pâtes, riz et céréales",,"Couscous semoule de blé, cuite",165,"5,19","33,2","0,64","0,1","1,6","0,029",0,"0,035",20,"0,85",24,120,"0,9",0,"< 0,08",0
9691,"pâtes, riz et céréales",,"Boulgour de blé, cuit","80,7","3,08","14,1","0,24","0,1","4,5","0,042",0,"0,021","60,7","0,96",102,68,"2,48",0,"0,01",0
9811,"pâtes, riz et céréales",,"Pâtes sèches standard, cuites",126,"3,99",25,"0,55","0,6","1,9","0,11","1,27","< 0,01",17,"0,43",17,34,"0,47",0,"< 0,08","< 0,5"
9816,"pâtes, riz et céréales",,"Pâtes fraîches, aux œufs, cuites",168,"5,76",32,"1,3",-,"1,5",-,20,"0,042","24,1","1,1","20,9",61,< 1,"< 0,2","< 0,1",-
9822,"pâtes, riz et céréales",,"Pâtes sèches aux œufs, cuites",134,"4,57",23,2,"0,8",2,"0,34","34,3","< 0,01",23,"0,57",16,25,"0,53","< 0,25","0,19","< 0,5"
9824,"pâtes, riz et céréales",,"Pâtes sèches, sans gluten, cuites",163,"3,09","34,4","1,1","0,49",1,"0,29","7,08","0,015","9,6","0,48",23,32,"0,46",-,"< 0,08","< 0,5"
9871,"pâtes, riz et céréales",,Pâtes sèches au blé complet cuites,128,"4,55","23,4","0,9","0,6","3,3","0,099","< 0,7","< 0,01",22,"0,98",36,65,"0,99",0,"< 0,08","< 0,5"
9901,"pâtes, riz et céréales",,"Vermicelle de riz, cuite","89,3","1,43","20,1","< 0,5","< 0,2","< 0,5","< 0,01",0,"0,024","5,2","0,08","1,3","2,2","0,15","< 0,25","0,03","< 0,5"
9903,"pâtes, riz et céréales",,"Vermicelle de soja, cuite","61,2","< 0,57","14,4","0,1",-,"0,8",-,-,"0,0063","14,2",< 1,"2,9","1,2",< 1,-,"< 0,1",-
25479,"pâtes, riz et céréales",,"Gnocchi à la semoule, cuit",185,"5,6","34,4","2,4","0,2","1,8","0,4",-,"1,2",-,-,-,-,-,-,-,-
25510,"pâtes, riz et céréales",,"Gnocchi à la pomme de terre, cuit",178,"5,01","33,8","2,05","1,1",2,"0,26",129,"1,01","5,1","0,7","18,8",184,"0,5","< 0,5","0,92",-
25579,"pâtes, riz et céréales",,"Gnocchi, cuit (aliment moyen)",182,"5,31","34,1","2,23","0,65","1,9","0,33",,"1,1",,,,,,,,
51511,"pâtes, riz et céréales",,"Frik (blé dur immature concassé), cuit",76,"2,04",14,"0,48",-,"3,5",-,-,"0,005","19,6",1,"30,4","95,5",< 1,-,"< 0,1",-
9001,"pâtes, riz et céréales",,"Épeautre, cru",344,"14,6","59,5","2,43","6,68","10,7","0,41",0,"0,02",27,"4,44",136,388,"3,28",-,"0,79",0
9003,"pâtes, riz et céréales",,"Blé de Khorasan, cru",342,"14,5","59,5","2,13","7,74","11,1","0,2",0,"0,013",22,"3,77",130,403,"3,68",-,"0,61",0
9010,"pâtes, riz et céréales",,Blé tendre entier ou froment,361,"11,5","71,3","2,6","3,3","1,7","0,6",0,"0,005",35,"3,3",-,397,"2,6",0,"1,44",0
9011,"pâtes, riz et céréales",,"Blé germé, cru",211,"7,49","41,4","1,27",-,"1,1","0,21",0,"0,04",28,"2,14",82,169,"1,65",0,-,"2,6"
9060,"pâtes, riz et céréales",,"Blé dur entier, cru",343,"12,1","62,4","2,24","3,17",11,"0,37",0,"0,0088","30,2","3,51",130,408,"3,48",0,"1,4",0
9080,"pâtes, riz et céréales",,"Blé dur précuit, entier",358,"12,5","69,4","1,62","1,22","6,38","0,53","0,37","0,014",55,0,50,950,0,0,22,0
9100,"pâtes, riz et céréales",,"Riz blanc, cru",352,"7,04",78,"0,91","0,16","1,05","0,2",0,"0,0061",33,"1,57","31,3",121,"1,41",0,"0,08",0
9101,"pâtes, riz et céréales",,"Riz blanc étuvé, cru",356,"7,11","78,6","0,98","0,4","1,32","0,21",0,"0,012",101,"0,97",31,162,"1,36",0,"0,04",0
9102,"pâtes, riz et céréales",,"Riz complet, cru",350,"7,02","71,4","2,8","0,66",5,"0,61",0,"0,01","11,1",< 1,118,219,2,0,"0,2",0
9108,"pâtes, riz et céréales",,"Riz sauvage, cru",344,"11,1","69,2","0,94","2,5","5,9","0,14",0,"0,0068","6,95",< 1,"90,1",298,"3,7",0,"< 0,1",0
9109,"pâtes, riz et céréales",,"Riz rouge, cru",352,"7,97","70,6",3,-,"4,5",-,-,"0,028","13,5",< 1,130,288,"2,1",-,"0,7",-
9119,"pâtes, riz et céréales",,"Riz thaï ou basmati, cru",353,"7,67","77,8","0,84","0,17","0,92","0,19",-,"0,014",-,-,-,-,-,-,-,-
9121,"pâtes, riz et céréales",,"Riz, mélange de variétés",355,"7,14","78,1",1,"0,5","1,5","0,2",-,"0,025",-,-,-,-,-,-,-,-
9200,"pâtes, riz et céréales",,"Maïs entier, cru",346,"8,1","67,2","3,7","1,6","5,7",-,-,"0,01",40,"3,2",100,320,"1,9",-,"1,7",-
9310,"pâtes, riz et céréales",,"Avoine, crue",378,"16,9","55,7","6,9","1,2","10,6","1,22",0,"0,005",54,"4,72",177,429,"3,97",0,"1,09",0
9320,"pâtes, riz et céréales",,"Orge entière, crue",334,"12,5","56,2","2,3","0,8","17,3","0,48",0,"0,03",33,"3,6",133,452,"2,77",0,"0,57",0
9321,"pâtes, riz et céréales",,"Orge perlée, crue",346,"9,91","68,6","1,16","0,8","9,1","0,24",0,"0,023",29,"2,5",79,280,"2,13",0,"0,02",0
9330,"pâtes, riz et céréales",,"Mil entier, cru",359,11,"64,3","4,21",-,"8,5","0,72",0,"0,0068","8,75","3,91",107,208,"2,54",0,"0,05",0
9340,"pâtes, riz et céréales",,"Quinoa, cru",358,"13,2","58,1","6,07",-,7,"0,71",0,"0,013",47,"4,57",197,563,"3,1",0,"2,44",-
9345,"pâtes, riz et céréales",,"Amarante, crue",369,"13,5","58,6","7,02","1,68","6,7","1,46",0,"0,01",159,"7,61",248,508,"2,87",0,"1,19","4,2"
9360,"pâtes, riz et céréales",,"Sorgho entier, cru",349,"10,6","65,4","3,46","2,48","6,7","0,61",0,"0,005",13,"3,36",165,363,"1,67",0,"0,5",0
9380,"pâtes, riz et céréales",,"Sarrasin entier, cru",356,"12,9","64,6","3,55",-,7,"0,74",0,"0,0025","16,3","2,2",231,460,"2,4",0,-,0
9390,"pâtes, riz et céréales",,"Seigle entier, cru",334,"9,83",61,"1,97","0,98",15,"0,25",0,"0,0073","26,4","3,32",104,469,"2,78",0,1,0
9610,"pâtes, riz et céréales",,"Semoule de blé dur, crue",352,"10,9","71,6","1,25",1,"3,37","0,21",0,"0,003","16,9","0,92","26,5",152,"2,18",0,"0,1",0
9612,"pâtes, riz et céréales",,Mélange de céréales-légumineuses,354,"13,7",59,4,"4,5",11,"0,5",-,"0,99",-,-,70,-,-,-,-,-
9614,"pâtes, riz et céréales",,"Polenta semoule de maïs, sèche",350,"7,88",74,"1,8",-,"3,2",-,-,"0,0043","1,55",< 1,35,144,< 1,-,< 1,-
9681,"pâtes, riz et céréales",,Couscous semoule de blé précuite,365,12,"72,7","1,45","2,95","4,33","0,28",0,"0,013",24,"1,08",44,166,"0,83",0,-,0
9690,"pâtes, riz et céréales",,"Boulgour de blé, cru",351,"11,5","66,8","1,71","0,41","9,57","0,27",0,"0,043","34,3","2,46",140,410,"2,37",0,"0,73",0
9810,"pâtes, riz et céréales",,Pâtes sèches standards,336,"11,5","65,8","1,79","2,12",3,"0,37",0,"0,031","20,5","1,5","57,5",219,"1,31",0,"0,2",0
9815,"pâtes, riz et céréales",,"Pâtes fraîches, aux œufss",283,"10,1","53,8","1,87","2,54","3,17","0,49","48,6","0,35",35,"1,29",-,-,-,-,-,-
9817,"pâtes, riz et céréales",CIQUAL,"Pâtes fraîches lasagne, aux œufs",283,"10,1","53,8","1,87","2,54","3,17","0,49","48,6","0,35",35,"1,29",-,-,-,-,-,-
9821,"pâtes, riz et céréales",,"Pâtes sèches, aux œufss",381,14,68,"4,72","2,19","3,15","1,34",84,"0,085",35,"1,9",58,244,"1,92","0,3","0,37",0
9863,"pâtes, riz et céréales",,"Nouilles asiatiques aromatisées, déshydratées",371,"11,9",71,3,"0,5",4,1,-,"0,99",-,-,-,-,-,-,-,-
9870,"pâtes, riz et céréales",,"Pâtes sèches, au blé complets",353,"11,8","67,6","2,2","1,8","6,1","0,38",0,"0,016","32,1","3,2","82,2",378,"1,9",0,"< 0,1",0
9874,"pâtes, riz et céréales",,"Pâtes sèches, sans glutens",356,"6,17",79,"1,24","0,38","1,22","0,24",-,"0,0078",-,-,-,-,-,-,-,-
9900,"pâtes, riz et céréales",,"Vermicelle de riz, sèche",365,"7,44","80,5",1,0,"1,2","0,3",-,"0,03","14,2",< 1,13,"20,3","1,3",-,"< 0,1",-
9904,"pâtes, riz et céréales",https://food-information.net/feuille-de-riz-greenfood-calories-et-informations-nutritionnelles/,"Feuille de riz, sèche",335,"7,3","76,5",0,"0,6","0,9",-,-,"0,00","0,00",< 1,-,-,-,-,-,-
9902,"pâtes, riz et céréales",,"Vermicelle de soja, sèche",344,"< 0,57","84,7","0,14","1,38","1,6",0,-,"0,039","25,2",< 1,"9,6","13,2",< 1,-,"< 0,1",-
26264,"pâtes, riz et céréales",,Gnocchi à la pomme de terre,176,"4,66",35,"1,42","3,18","2,2","0,3",-,"1,18",-,-,-,-,-,-,-,-
26265,"pâtes, riz et céréales",,Gnocchi à la semoule,200,"6,2",37,"2,6","9,9","1,9","0,34",-,"2,21",-,-,-,-,-,-,-,-
51510,"pâtes, riz et céréales",,Frik (blé dur immature concassé),323,"9,62","55,8","2,25",-,"19,3",-,-,"0,011","50,3","5,2",114,512,"3,6",-,"< 0,1",-
7000,pains et viennoiseries,,Pain (aliment moyen),281,"8,22","55,1","1,98","3,32","3,25","0,28",,"1,57","31,2","1,32","29,1",163,"0,52",,"0,28",
7001,pains et viennoiseries,,"Pain, baguette, courante",283,"8,55","54,2","2,5","2,7","2,9","0,29","0,075","1,58",20,"1,06","27,9",162,"0,5",0,"0,12",< 5
7002,pains et viennoiseries,,Pain au levain,261,"7,41","53,1","1,3","2,4","2,1","0,17",-,-,"18,7","1,3","18,7",124,"0,53",-,"0,16",-
7007,pains et viennoiseries,,"Pain, baguette tradition",286,"7,98","59,1","1,1","2,86","2,3","0,055",-,"1,71","23,2","1,32","22,1",137,"< 0,75",-,"0,28",-
7010,pains et viennoiseries,,"Pain, baguette ou boule, bis",265,"8,6",54,"0,33","2,39","4,2","0,045",-,-,"27,5","1,31",33,178,"1,2",-,"0,23",-
7012,pains et viennoiseries,,"Pain courant français, boule",266,"7,9",52,2,-,"2,6","0,42",0,"1,33",37,1,"21,3",128,"0,63",0,"0,5",0
7025,pains et viennoiseries,,"Pain, baguette ou boule, bio",249,"9,39","47,1","1,05","1,37",5,"0,17",-,"1,37","24,2","1,8",38,190,"1,1",-,"0,27",-
7100,pains et viennoiseries,,Pain de campagne,268,"8,03","54,5","0,93","1,5","3,35","0,083","0,37","1,54","20,2","1,1","31,6",163,"0,53",-,"0,39",traces
7110,pains et viennoiseries,,Pain complet ou intégral,256,"10,2","40,8","3,7","2,9","7,3","0,7",0,1,"31,9","2,09",56,315,"1,12",0,"0,3",0
7111,pains et viennoiseries,,"Pain de mie, complet",262,"8,51","43,7","4,06","5,69","6,23","0,96","< 0,5","1,18",141,"1,6","51,5",226,"1,1",-,"0,5",-
7112,pains et viennoiseries,,"Pain de mie, au son",278,"6,84",46,"5,5","3,53",7,-,-,"1,35",-,"3,5","76,6",-,"1,4",-,-,-
7113,pains et viennoiseries,,"Pain de mie, multicéréale",274,"8,81","43,6","5,41","4,42","5,74","1,15","< 0,5","1,29","77,6","1,9","40,9",157,"1,5","< 0,5",3,< 1
7115,pains et viennoiseries,,Pain au son,256,"8,3","44,4","3,28","2,04","6,21","0,2",-,"1,65","30,5","2,05","54,1",253,"1,19",-,"0,2",-
7125,pains et viennoiseries,,"Pain de seigle, et froment",239,"5,58","46,3","1,24","1,9","8,9","0,2",0,"1,33","22,8","1,2","29,6",179,< 1,0,"< 0,1","0,4"
7130,pains et viennoiseries,,"Pain, sans gluten",261,"2,62","51,8","3,3","4,9","6,5","1,24","4,53","1,56",60,"0,5",16,75,"0,36",-,"0,98","38,6"
7160,pains et viennoiseries,,"Pain, baguette, sans sel",280,"8,34","56,5","1,3","8,6","2,68","0,3",-,"0,013",42,-,"21,3",129,"0,75",-,-,-
7170,pains et viennoiseries,,Pain panini,272,"7,66","55,9","1,1","2,3","2,6","0,22",3,"1,55",22,"0,9",29,148,-,traces,"0,4",-
7180,pains et viennoiseries,,Pain pita,259,"7,53",53,"0,92","2,18","2,68","0,17",-,"1,38","52,7",1,"18,1",134,< 1,-,"< 0,1",-
7200,pains et viennoiseries,,"Pain de mie, courant",284,"7,61","50,8","4,35","6,03","3,42","1,55","3,2","1,24",122,"1,03","30,4",150,"0,55",0,"< 0,1",0
7201,pains et viennoiseries,,"Pain de mie, sans croûte",253,"7,22","46,1","3,58","9,66","2,48","1,16",-,"0,96",-,-,-,-,-,-,-,-
7210,pains et viennoiseries,,Pain de mie brioché,321,"7,92","50,5","8,68","9,33","2,85","4,25",-,"1,09",-,-,-,-,-,-,-,-
7255,pains et viennoiseries,,Pain aux céréales et graines,286,"8,95","49,1","3,9","4,5","7,7","0,36","< 0,5","1,55","38,7","1,76","65,2",273,"0,96","< 0,5","0,4","< 0,5"
7256,pains et viennoiseries,,"Muffin anglais, complet",217,"12,5","32,9","1,87","2,13","7,07","0,2",-,"0,98",-,-,-,-,-,-,-,-
7257,pains et viennoiseries,,"Muffin anglais, pain spécial",228,"10,6","39,6","1,88","4,25","3,18","0,42",-,"1,05",-,-,-,-,-,-,-,-
7258,pains et viennoiseries,,Bagel,272,"9,26","47,3","3,98","5,36","3,42","1,02",0,"1,08","37,3","1,83","36,3",122,"0,95",0,"0,32",0
